 ID,PARAM,Year,MM--DD,MAX,SYM,MM--DD,MIN,SYM
08MF005,1,1912,06--24,7420,,,,
08MF005,1,1913,06--14,10300,,01--13,360,
08MF005,1,1914,06--20,8550,,01--30,637,
08MF005,1,1915,07--14,5800,,12--31,399,
08MF005,1,1916,06--26,8720,,01--08,340,
08MF005,1,1917,06--11,8980,,04--04,439,
08MF005,1,1918,06--19,9770,,12--26,612,
08MF005,1,1919,06--26,8520,,03--02,379,
08MF005,1,1920,07--16,10800,,04--09,566,
08MF005,1,1921,06--11,11100,,01--13,680,
08MF005,1,1922,06--07,9910,,03--25,547,
08MF005,1,1923,06--13,9260,,03--17,566,
08MF005,1,1924,05--19,9680,,01--06,425,E
08MF005,1,1925,05--23,9970,,03--01,671,
08MF005,1,1926,05--07,6000,,12--17,711,
08MF005,1,1927,06--14,8670,,03--12,552,
08MF005,1,1928,05--30,10300,,12--07,405,
08MF005,1,1929,06--13,8040,,02--26,439,
08MF005,1,1930,06--14,7840,,02--16,453,
08MF005,1,1931,06--15,7620,,01--10,572,
08MF005,1,1932,06--18,8500,,02--17,532,
08MF005,1,1933,07--06,9290,,02--15,620,
08MF005,1,1934,05--01,8500,,12--29,784,
08MF005,1,1935,07--06,8040,,12--30,790,
08MF005,1,1936,06--05,10600,,04--07,464,
08MF005,1,1937,06--22,7480,,01--28,510,B
08MF005,1,1938,05--29,6820,,12--30,487,
08MF005,1,1939,05--21,7820,,02--20,479,
08MF005,1,1940,05--29,7080,,12--19,714,
08MF005,1,1941,06--18,5130,,02--25,583,
08MF005,1,1942,05--31,7220,,03--29,527,
08MF005,1,1943,06--28,7560,,12--22,484,
08MF005,1,1944,06--07,6060,,03--04,362,
08MF005,1,1945,06--04,7820,,03--18,600,
08MF005,1,1946,05--31,9540,,11--26,408,
08MF005,1,1947,06--14,8160,,02--04,456,
08MF005,1,1948,05--31,15200,,02--14,530,
08MF005,1,1949,05--16,9000,,02--22,603,
08MF005,1,1950,06--20,12500,,03--01,603,B
08MF005,1,1951,05--20,8040,,03--10,569,A
